item_type,key_or_id,current_label,current_role,action,new_label,new_role,implementation_notes
panel,startups,"Startups & VC","General startup funding",repurpose,"Travel & Experience Startups","Early-stage companies in travel, mobility, experiences and hospitality tech","Filter to travel/experience/tourism-tagged startups; sources: Skift Startup News, Phocuswright Innovation"
panel,vcblogs,"VC Insights & Essays","General VC content",repurpose,"Travel & Experience Investment","VC perspectives on travel, experiences, loyalty and consumer trends","Curate to VCs focused on travel (Thayer Ventures, Bessemer travel), essays on consumer marketplaces and experiences"
panel,regionalStartups,"Global Startup News","Multi-region startup feeds",repurpose,"Global Travel Innovation","Travel tech innovation from emerging markets and regions","Filter regional startup feeds to travel, mobility, and hospitality categories"
panel,unicorns,"Unicorn Tracker","Billion-dollar startups",repurpose,"Travel Unicorns & Scale-ups","High-growth travel and experience companies reaching unicorn status","Track companies like Airbnb, Booking, GetYourGuide, Klook, Outdoorsy, and rising travel unicorns"
panel,accelerators,"Accelerators & Demo Days","Startup accelerator news",repurpose,"Travel Accelerators & Pitch Events","Accelerator programs and demo days focused on travel and hospitality","Focus on travel-specific accelerators (Plug and Play Travel, tourism board accelerators)"
panel,funding,"Funding & VC","General funding rounds",repurpose,"Travel Sector Funding","Investment rounds and capital raises in travel and hospitality","Filter funding announcements to travel, mobility, experiences, loyalty, hospitality tech"
panel,producthunt,"Product Hunt","New product launches",repurpose,"Travel Product Launches","New tools, apps and platforms for travelers and travel marketers","Filter Product Hunt to travel category; include booking tools, trip planners, loyalty apps"
panel,thinktanks,"Think Tanks","Policy research institutions",repurpose,"Travel Industry Research","Reports and insights from Skift, Phocuswright, IATA, UNWTO, market research firms","Sources: Skift Research, Phocuswright reports, IATA economic reports, UNWTO tourism insights, STR hotel data"
panel,economic,"Economic Panel","General macro via FRED",repurpose,"Travel Demand & Economics","Tourism arrivals, hotel occupancy, airline traffic, travel spend indicators","FRED series: air passenger traffic, hotel occupancy indices, tourism GDP contribution; add Visa/Mastercard travel spending data if available"
panel,markets,"Market Panel","Broad equity watchlist",repurpose,"Travel & Media Equities","Stock watchlist for airlines, hotels, OTAs, cruise lines, ad platforms","MARKET_SYMBOLS: DAL, UAL, AAL, LUV, ALK, JBLU, MAR, HLT, H, IHG, BKNG, EXPE, TRIP, CCL, RCL, NCLH, ABNB, META, GOOGL, SNAP, PINS, TTD"
panel,commodities,"Commodities","Broad commodity tracking",repurpose,"Travel Input Costs","Jet fuel prices and key cost drivers for travel operations","COMMODITIES: crude oil, jet fuel index, currency indices affecting travel (USD strength)"
panel,heatmap,"Heatmap","Market performance grid",repurpose,"Travel Sector Heatmap","Visual heatmap of travel stock performance","Same component, but filtered watchlist to travel/hospitality tickers"
panel,events,"Tech Events","Tech conference calendar",repurpose,"Travel & Marketing Events","Industry conferences, trade shows and marketing festivals","Sources: Skift Global Forum, World Travel Market (WTM), ITB Berlin, Arabian Travel Market, ASTA, Cannes Lions (travel/hospitality track), Adobe Summit (travel sessions)"
panel,insights,"AI Insights","Generic cluster insights",keep,"Travel Intelligence","AI-generated summaries of trending travel stories and market shifts","Ensure clustering only uses travel/hospitality/marketing news; adjust prompts to assume travel marketing strategist audience"
panel,monitors,"Custom Monitors","User-defined keyword monitors",keep,"Custom Travel Monitors","User-configured keyword alerts for brands, destinations, campaigns","Keep existing MonitorPanel logic; provide travel-specific example monitors"
panel,intel,"Intel Feed","Defense intelligence news",replace,"Social Media Trends","Trending travel content, influencer campaigns, viral destination marketing","New panel: aggregate trending travel hashtags, TikTok/Instagram travel trends, creator partnerships; sources: Later, Tribe, AspireIQ"
panel,gdelt-intel,"GDELT Intel","Conflict/instability analytics",replace,"Brand Sentiment Monitor","Real-time sentiment tracking for major travel brands and destinations","New panel: sentiment analysis on travel brands using social listening; track airline/hotel reputation, crisis response effectiveness"
panel,cii,"Country Instability Index","Political risk scoring",replace,"Destination Health Score","Travel-readiness score for destinations based on tourism demand, accessibility, safety perception","New scoring system: tourist arrivals trend, flight capacity, hotel occupancy, visa openness, State Dept advisories, Google Trends travel interest"
panel,strategic-posture,"Strategic Posture","Military buildup tracking",replace,"Campaign Performance","Live tracking of major travel brand campaigns and media spend","New panel: monitor active travel marketing campaigns, track spend/reach estimates, measure engagement; sources: Pathmatics, MediaRadar, Kantar, brand social analytics"
panel,strategic-risk,"Strategic Risk","Conflict cascade analysis",replace,"Travel Disruption Alerts","Real-time alerts for events impacting travel: strikes, weather, airport closures","New panel: aggregate flight cancellations, airport closures, border closures, extreme weather, airline/hotel strikes; sources: FlightAware, OAG, weather APIs"
panel,satellite-fires,"Satellite Fires","FIRMS fire detection",replace,"Destination Imagery","Visual showcase of trending destinations with user-generated content","New panel: curated Instagram/TikTok posts from trending destinations; integrate Unsplash/Pexels travel photos for inspiration"
panel,ucdp-events,"UCDP Conflicts","Conflict event timeline",replace,"Travel Event Calendar","Major festivals, events and peak seasons driving travel demand","New panel: calendar of major events (Olympics, World Cup, festivals, holidays) with impact on bookings; sources: event APIs, tourism board calendars"
panel,displacement,"Displacement","Refugee/IDP flows",replace,"Search Interest Tracker","Google Trends data for destination and travel product searches","New panel: trending destination searches, flight/hotel search volume by market; integrate Google Trends API for travel queries"
panel,climate,"Climate Anomalies","Climate deviation analytics",replace,"Loyalty & Rewards News","Updates on airline/hotel loyalty programs and rewards partnerships","New panel: loyalty program changes, credit card partnerships, points devaluations/enhancements; sources: Frequent Miler, The Points Guy, loyalty program announcements"
panel,population-exposure,"Population Exposure","Hazard exposure mapping",replace,"Creator Partnerships","Influencer marketing campaigns and brand/creator collaborations","New panel: announced influencer partnerships, sponsored travel campaigns, creator trip announcements; sources: influencer marketing platforms, brand social media"
panel,cascade,"Cascade Risk","Multi-domain risk analysis",replace,"Ad Platform Updates","Changes to Meta, Google, TikTok advertising policies and features affecting travel","New panel: ad platform policy changes, new targeting options, attribution updates; sources: Meta for Business, Google Ads blog, TikTok for Business"
panel,crypto,"Crypto","Cryptocurrency markets",replace,"Travel Media Spend","Ad spend trends and CPM/CPC benchmarks for travel vertical","New panel: travel advertising spend data, cost trends, efficiency metrics; sources: Pathmatics, MediaRadar, Kantar, Meta/Google benchmarks for travel"
panel,macro-signals,"Macro Signals","Macro market intelligence",replace,"Booking Trends","Forward-looking booking data and demand signals","New panel: booking window trends, lead times, conversion rates; sources: Forward Keys, OAG booking data, STR forward-booking indicators"
panel,etf-flows,"ETF Flows","ETF positioning",replace,"Review Platforms","Latest reviews and ratings from TripAdvisor, Google, Yelp for major properties","New panel: aggregated review highlights, rating changes, sentiment trends for top hotels/airlines/experiences"
panel,stablecoins,"Stablecoin Panel","Stablecoin flows",replace,"Partnership Announcements","Brand partnerships, co-marketing deals, distribution agreements","New panel: airline alliances, hotel-OTA partnerships, loyalty coalition deals, credit card travel partnerships"
panel,security,"Cybersecurity","Security incidents",replace,"Privacy & Tracking Policy","Cookie policies, GDPR compliance, and ad tracking regulations affecting travel marketing","New panel: privacy regulation updates (GDPR, CCPA, ePrivacy), cookie deprecation timeline, tracking/attribution changes; sources: IAB Europe, digital marketing compliance blogs"
panel,policy,"AI Policy & Regulation","Tech policy and regulation",replace,"Brand Safety & Travel Advisories","State Department advisories and safety perceptions affecting destinations","New panel: travel warnings, destination risk levels, rebooking/cancellation trends tied to advisories; sources: travel.state.gov, Smart Traveler Enrollment Program (STEP)"
panel,hardware,"Semiconductors & Hardware","Chip/hardware industry",replace,"OTA Platform Updates","Feature launches and competitive moves by Booking, Expedia, Airbnb","New panel: new features on booking platforms, pricing algorithm changes, loyalty integration updates; sources: Skift OTA coverage, platform press releases"
panel,cloud,"Cloud & Infrastructure","Cloud infrastructure news",replace,"Email & Retention Marketing","Best practices and case studies in travel email marketing and retention","New panel: email campaign benchmarks, reactivation strategies, CRM trends; sources: Klaviyo travel benchmarks, Mailchimp case studies, retention marketing blogs"
panel,dev,"Developer Community","Developer content",replace,"Attribution & Measurement","Changes to attribution models and measurement capabilities for travel marketers","New panel: Meta/Google attribution updates, MMM trends, incrementality testing; sources: ad platform measurement docs, AppsFlyer, Adjust travel benchmarks"
panel,tech-readiness,"Tech Readiness","World Bank tech indicators",replace,"Travel Tech Readiness","Digital maturity and infrastructure enabling travel in key markets","New panel: mobile penetration, payment digitization, connectivity in emerging travel markets; sources: World Bank Digital Adoption Index, GSMA Mobile Economy, travel-specific digital readiness"
panel,service-status,"Service Status","Platform uptime monitoring",keep,"Service Status","Travel platform and booking system uptime monitoring","Keep existing service status monitoring; optionally add travel-specific platforms (Amadeus, Sabre, airline APIs)"
panel,runtime-config,"Runtime Config","Desktop app settings",keep,"Runtime Config","Desktop application configuration and API keys","Keep as-is for Tauri desktop builds"
map_layer,military,"Military","Military flights and vessels",replace,"Flight Disruptions","Commercial flight delays and cancellations at major hubs","Replace military tracking with commercial flight delays; sources: FlightAware, OAG, airline APIs; visualize delay hotspots"
map_layer,ais,"AIS Shipping","Global cargo/naval vessel tracking",replace,"Cruise Routes","Active cruise ship positions and routes","Replace general AIS with cruise-specific tracking; sources: CruiseMapper, MarineTraffic cruise filter"
map_layer,outages,"Outages","Internet outages by country",repurpose,"Platform Outages","Booking platform and travel site outages","Narrow to travel-specific platforms: airline websites, OTAs, hotel booking engines; sources: DownDetector travel category"
map_layer,natural,"Natural","Earthquakes and natural events",keep,"Travel Disruptions","Natural events significantly disrupting travel flows","Keep earthquake/disaster tracking but surface only events near major travel hubs and destinations"
map_layer,weather,"Weather","Severe weather alerts",keep,"Travel Weather","Weather disruptions at airports and major destinations","Keep weather layer but prioritize alerts affecting airports, cruise ports, resort destinations"
map_layer,techEvents,"Tech Events","Tech conference locations",repurpose,"Travel Events","Major travel conferences, festivals and tourism events","Replace with travel industry conferences: WTM, ITB, Skift Global Forum, Arabian Travel Market, plus major festivals driving tourism"
map_layer,cyberThreats,"Cyber Threats","Global cyber incidents",remove,"","","Disable cyber threat layer unless later adding travel-specific infra threats"
map_layer,ucdpEvents,"UCDP Conflicts","Armed conflict events",remove,"","","Disable conflict event tracking; replace context with destination-level safety perception metrics"
map_layer,displacement,"Displacement","Refugee movements",remove,"","","Disable displacement tracking"
map_layer,climate,"Climate Anomalies","Climate deviations",remove,"","","Disable climate anomaly layer unless specifically repurposing for climate-impact-on-tourism stories"
map_layer,bases,"Military Bases","Military installations",replace,"Hotel Clusters","Major hotel district locations in key cities","Replace military base markers with hotel district overlays for top destinations; sources: hotel GeoJSON data from Booking/Expedia APIs or scraped data"
map_layer,hotspots,"Intel Hotspots","Geopolitical tension zones",replace,"Top Destinations","Most-searched and trending travel destinations","Replace conflict hotspots with trending destination markers; overlay Google Trends travel interest, booking demand heatmaps"
map_layer,nuclear,"Nuclear Facilities","Nuclear sites worldwide",remove,"","","Disable nuclear facilities layer"
map_layer,irradiators,"Gamma Irradiators","Medical isotope facilities",remove,"","","Disable irradiator markers"
map_layer,pipelines,"Pipelines","Oil/gas pipelines",remove,"","","Disable pipeline overlays unless later adding travel infrastructure (rail, highway corridors)"
map_layer,cables,"Undersea Cables","Internet backbone cables",remove,"","","Disable undersea cable layer unless repurposing for connectivity/digital infrastructure in emerging markets"
map_layer,datacenters,"AI Datacenters","Major datacenter locations",remove,"","","Disable datacenter markers"
map_layer,techHQs,"Tech HQs","Tech company headquarters",replace,"Travel Brand HQs","Headquarters of major airlines, hotel chains, OTAs","Replace tech HQ markers with travel brand HQs (United, Marriott, Booking Holdings, Airbnb, Expedia Group)"
map_layer,startupHubs,"Startup Hubs","Startup ecosystem centers",replace,"Tourism Boards","National and regional tourism authority locations","Replace startup ecosystem markers with tourism board offices and convention bureau locations"
map_layer,accelerators,"Accelerators","Accelerator locations",remove,"","","Disable accelerator markers unless later adding travel-specific incubators"
map_layer,flights,"Flights","Real-time flight tracking",keep,"Flight Delays","Commercial flight delays and cancellations","Keep flight layer but focus on commercial delays at major hubs rather than general flight tracking"
map_layer,safety,"Safety Zones","Conflict/danger zones",replace,"Visa Requirements","Visa openness and entry requirements by destination","Replace safety zones with visa policy visualization: visa-free, visa-on-arrival, e-visa availability; sources: IATA Travel Centre, Passport Index"
map_layer,sanctions,"Sanctions","Sanctioned entities",remove,"","","Disable sanctions layer"
map_layer,waterways,"Waterways","Strategic maritime routes",replace,"Cruise Ports","Major cruise ports and departure terminals","Replace strategic waterways with cruise port markers; highlight departure cities and popular itinerary routes"
map_layer,spaceports,"Spaceports","Launch facility locations",remove,"","","Disable spaceport markers unless later tracking space tourism launches"
map_layer,minerals,"Critical Minerals","Mineral resource locations",remove,"","","Disable minerals layer"
